@relation Training

@attribute id numeric
@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute extraversion numeric
@attribute openness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute class {1,2,3,4,5}

@data
114,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.875219,0.003703,0.010095,0.109584,0.001399,63,0,62,1,0.567976,0.598989,0.452927,0.473415,1
115,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.557067,0.10064,0.113474,0.215189,0.013629,43,11,40,0,0.444336,0.662771,0.440602,0.466545,1
116,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.587422,0.023858,0.086321,0.251533,0.050866,401,99,383,20,0.377936,0.511996,0.416426,0.557771,1
117,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.463598,0.048148,0.070751,0.389868,0.027635,43,0,41,1,0.460804,0.522306,0.371479,0.510996,1
118,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.353762,0.046863,0.046612,0.276935,0.275829,59,11,55,0,0.518814,0.633314,0.408289,0.494244,1
119,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.297263,0.015866,0.219515,0.417189,0.050166,194,0,185,4,0.583678,0.479931,0.507622,0.493174,1
120,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.396647,0.035885,0.106742,0.449739,0.010987,111,11,107,3,0.434358,0.394901,0.500289,0.609941,1
121,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.567171,0.050778,0.075594,0.176004,0.130453,54,0,52,1,0.611197,0.499105,0.508904,0.482781,1
122,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.740724,0.025518,0.038006,0.194744,0.001008,41,0,40,0,0.508568,0.453764,0.529485,0.47994,1
123,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.557225,0.106228,0.045701,0.270409,0.020438,136,22,132,14,0.481733,0.486636,0.4054,0.532047,1
124,P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.634507,0.059351,0.083408,0.210082,0.012653,33,0,32,2,0.522103,0.556149,0.38068,0.45432,1
125,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.108249,0.475385,0.042147,0.234426,0.139793,363,44,317,9,0.57774,0.499481,0.432613,0.497976,1
126,NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.719697,0.014802,0.031186,0.222971,0.011344,200,11,198,7,0.420523,0.490092,0.347349,0.542288,1
127,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.785428,0.044777,0.034048,0.125649,0.010098,237,11,231,11,0.531959,0.465106,0.441794,0.498596,1
128,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.39714,0.109081,0.060386,0.336455,0.096937,42,11,40,0,0.510014,0.563708,0.453706,0.492121,1
129,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.251745,0.205228,0.217426,0.282954,0.042647,54,11,52,3,0.584568,0.520547,0.435524,0.468475,1
130,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.788225,0.032275,0.031794,0.128947,0.01876,52,11,50,2,0.485007,0.497331,0.431893,0.514401,1
131,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.458059,0.044639,0.06978,0.389323,0.038198,65,0,63,0,0.489082,0.46369,0.455144,0.558737,1
132,N+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.558473,0.019413,0.019124,0.31085,0.09214,97,0,94,2,0.583987,0.470074,0.53628,0.483267,1
133,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.519464,0.055347,0.225363,0.177235,0.022591,194,22,188,1,0.557549,0.533632,0.451295,0.491941,1
134,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.612891,0.076622,0.16398,0.130426,0.01608,142,0,140,1,0.449134,0.582945,0.346668,0.513519,1
135,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.583142,0.01367,0.06031,0.248862,0.094017,109,0,107,0,0.543741,0.506444,0.399185,0.501893,1
136,N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.435261,0.02351,0.114543,0.396324,0.030362,74,0,72,0,0.530928,0.489944,0.446811,0.495426,1
137,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.678592,0.021003,0.065907,0.185424,0.049074,111,22,108,0,0.510141,0.469838,0.506313,0.514126,1
138,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.601171,0.025698,0.104626,0.259063,0.009442,144,0,120,1,0.388189,0.517636,0.371539,0.536067,1
139,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.708951,0.015176,0.019377,0.242097,0.0144,64,11,59,1,0.436351,0.528895,0.409901,0.514372,1
140,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.416617,0.061305,0.087013,0.41498,0.020086,127,11,123,1,0.401484,0.501789,0.423548,0.551328,1
141,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.478718,0.053612,0.285175,0.180729,0.001766,76,0,75,2,0.45107,0.516505,0.379612,0.516738,1
